,Transformer,FTTransformer,LSTM,GRU,MLP,CNN,XGBoost,LightGBM,LogisticRegression
Transformer,1.0,0.0023163110616671867,9.088618746488919e-12,6.000584473753179e-10,0.0,5.995204332975845e-14,0.0,0.0,3.3306690738754696e-16
FTTransformer,0.0023163110616671867,1.0,9.921865932494e-05,0.00034283974161120057,7.771561172376096e-16,5.149793591563423e-09,0.0,0.0,2.5197399722287628e-11
LSTM,9.088618746488919e-12,9.921865932494e-05,1.0,0.9272644735252321,9.611058383596216e-07,0.03078255323172563,0.0,0.0,2.6690219332436982e-05
GRU,6.000584473753179e-10,0.00034283974161120057,0.9272644735252321,1.0,7.646351078971492e-07,0.027589528525118423,0.0,0.0,4.906828848239009e-06
MLP,0.0,7.771561172376096e-16,9.611058383596216e-07,7.646351078971492e-07,1.0,0.0017706861640779392,0.0,0.0,0.48771090916656856
CNN,5.995204332975845e-14,5.149793591563423e-09,0.03078255323172563,0.027589528525118423,0.0017706861640779392,1.0,0.0,0.0,0.004730624986031717
XGBoost,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
LightGBM,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
LogisticRegression,3.3306690738754696e-16,2.5197399722287628e-11,2.6690219332436982e-05,4.906828848239009e-06,0.48771090916656856,0.004730624986031717,0.0,0.0,1.0
