Model,accuracy_mean,accuracy_std,accuracy,f1_macro_mean,f1_macro_std,f1_macro,roc_auc_mean,roc_auc_std,roc_auc,pr_auc_mean,pr_auc_std,pr_auc,mcc_mean,mcc_std,mcc,g_mean_mean,g_mean_std,g_mean,brier_score_mean,brier_score_std,brier_score,tdl_mean,tdl_std,tdl,emp_mean,emp_std,emp,ece_mean,ece_std,ece
Transformer,0.6133,0.0283,0.6133±0.0283,0.5875,0.0227,0.5875±0.0227,0.8437,0.0057,0.8437±0.0057,0.6631,0.021,0.6631±0.0210,0.3511,0.0186,0.3511±0.0186,0.6945,0.0193,0.6945±0.0193,0.2525,0.0125,0.2525±0.0125,3.8693,0.1738,3.8693±0.1738,0.0258,0.001,0.0258±0.0010,0.3364,0.0231,0.3364±0.0231
FTTransformer,0.6472,0.0369,0.6472±0.0369,0.6128,0.0282,0.6128±0.0282,0.8343,0.0039,0.8343±0.0039,0.6458,0.0149,0.6458±0.0149,0.3644,0.0214,0.3644±0.0214,0.7119,0.0204,0.7119±0.0204,0.2365,0.0199,0.2365±0.0199,3.7843,0.1069,3.7843±0.1069,0.0244,0.0014,0.0244±0.0014,0.3058,0.0369,0.3058±0.0369
LSTM,0.6355,0.0224,0.6355±0.0224,0.6045,0.0166,0.6045±0.0166,0.8428,0.0109,0.8428±0.0109,0.6733,0.0201,0.6733±0.0201,0.3617,0.0162,0.3617±0.0162,0.7076,0.0122,0.7076±0.0122,0.2431,0.0143,0.2431±0.0143,3.9216,0.1666,3.9216±0.1666,0.0257,0.0011,0.0257±0.0011,0.3293,0.025,0.3293±0.0250
GRU,0.6321,0.0181,0.6321±0.0181,0.603,0.0146,0.6030±0.0146,0.8459,0.0065,0.8459±0.0065,0.6744,0.0184,0.6744±0.0184,0.3657,0.015,0.3657±0.0150,0.7085,0.0129,0.7085±0.0129,0.2489,0.0074,0.2489±0.0074,3.902,0.1319,3.9020±0.1319,0.0255,0.0008,0.0255±0.0008,0.338,0.0134,0.3380±0.0134
MLP,0.6835,0.0205,0.6835±0.0205,0.6406,0.0147,0.6406±0.0147,0.828,0.0099,0.8280±0.0099,0.6356,0.0211,0.6356±0.0211,0.3858,0.0153,0.3858±0.0153,0.7314,0.0098,0.7314±0.0098,0.2231,0.0149,0.2231±0.0149,3.7059,0.1236,3.7059±0.1236,0.0245,0.0014,0.0245±0.0014,0.2758,0.0262,0.2758±0.0262
CNN,0.6393,0.0202,0.6393±0.0202,0.6077,0.0152,0.6077±0.0152,0.837,0.0078,0.8370±0.0078,0.6429,0.0293,0.6429±0.0293,0.3646,0.0109,0.3646±0.0109,0.7105,0.0109,0.7105±0.0109,0.2557,0.0167,0.2557±0.0167,3.7386,0.1872,3.7386±0.1872,0.0249,0.0009,0.0249±0.0009,0.3273,0.0316,0.3273±0.0316
XGBoost,0.8499,0.0084,0.8499±0.0084,0.7488,0.0144,0.7488±0.0144,0.8471,0.0092,0.8471±0.0092,0.6787,0.0181,0.6787±0.0181,0.5043,0.0285,0.5043±0.0285,0.7019,0.0177,0.7019±0.0177,0.1105,0.0043,0.1105±0.0043,3.8824,0.1522,3.8824±0.1522,0.0255,0.0017,0.0255±0.0017,0.0405,0.0062,0.0405±0.0062
LightGBM,0.8519,0.0085,0.8519±0.0085,0.7495,0.0132,0.7495±0.0132,0.8455,0.0092,0.8455±0.0092,0.6808,0.0186,0.6808±0.0186,0.508,0.0263,0.5080±0.0263,0.6987,0.0179,0.6987±0.0179,0.11,0.0043,0.1100±0.0043,3.9608,0.1657,3.9608±0.1657,0.0259,0.0016,0.0259±0.0016,0.0426,0.0074,0.0426±0.0074
LogisticRegression,0.7049,0.0029,0.7049±0.0029,0.6369,0.0054,0.6369±0.0054,0.7543,0.0111,0.7543±0.0111,0.4463,0.0331,0.4463±0.0331,0.32,0.0154,0.3200±0.0154,0.6904,0.0107,0.6904±0.0107,0.1957,0.0028,0.1957±0.0028,2.5817,0.1634,2.5817±0.1634,0.0158,0.0017,0.0158±0.0017,0.2184,0.0069,0.2184±0.0069
