model,total_epochs,best_epoch_auc,best_epoch_loss,best_val_auc,best_val_loss,final_train_loss,final_val_loss,overfitting_gap,speed_epochs_95pct,tail_stability_std,loss_slope,initial_lr,final_lr
Transformer,25,5,5,0.839,0.9799,0.5444,1.1937,0.6493,3,0.01602,0.001494,1e-05,0.000989
FTTransformer,29,6,9,0.8327,0.9829,0.5149,1.2734,0.7585,2,0.0146,0.003989,1e-05,0.000978
LSTM,37,14,17,0.8423,0.9483,0.7213,1.0399,0.3185,7,0.01152,-0.004126,1e-05,0.000942
GRU,36,15,16,0.8432,0.9564,0.7658,1.0031,0.2373,7,0.01452,-0.004841,1e-05,0.000947
MLP,31,4,11,0.8314,0.9745,0.5976,1.1085,0.5109,2,0.00737,0.001275,1e-05,0.00097
CNN,29,8,9,0.8318,1.02,0.552,1.2517,0.6997,3,0.00356,0.005301,1e-05,0.000978
