Baseline,AUC (proposed),AUC (baseline),ΔAUC,DeLong z,DeLong p,"DeLong p (Bonf, k=8)",Bootstrap 95% CI,Bootstrap p,Sig (Bonf 0.05)
FTTransformer,0.8389,0.8398,-0.0009,0.172,0.863172802582262,1.0,"[-0.0113, +0.0092]",0.8596,no
LSTM,0.8389,0.8346,0.0043,0.804,0.4214586746419312,1.0,"[-0.0060, +0.0149]",0.4136,no
GRU,0.8389,0.8393,-0.0004,0.08,0.9359735448489781,1.0,"[-0.0102, +0.0093]",0.9768,no
MLP,0.8389,0.8224,0.0165,2.608,0.009107531649863446,0.07286025319890757,"[+0.0044, +0.0292]",0.0044,no
CNN,0.8389,0.8264,0.0125,2.114,0.03453264522552791,0.2762611618042233,"[+0.0010, +0.0242]",0.034,no
XGBoost,0.8389,0.8521,-0.0132,1.921,0.054782663721568,0.438261309772544,"[-0.0266, -0.0003]",0.0448,no
LightGBM,0.8389,0.8508,-0.0119,1.613,0.1068152306940967,0.8545218455527736,"[-0.0267, +0.0020]",0.0956,no
LogisticRegression,0.8389,0.7516,0.0873,6.394,1.6148440949403442e-10,1.2918752759522754e-09,"[+0.0604, +0.1130]",0.0,yes
