model,total_epochs,best_epoch_auc,best_epoch_loss,best_val_auc,best_val_loss,final_train_loss,final_val_loss,overfitting_gap,speed_epochs_95pct,tail_stability_std,loss_slope,initial_lr,final_lr
Transformer,26,8,6,0.8475,0.6541,0.4423,0.7322,0.29,2,0.00443,0.001084,1e-05,0.000987
FTTransformer,30,16,10,0.8475,0.6556,0.426,0.7215,0.2954,2,0.00295,0.001629,1e-05,0.000974
LSTM,31,21,11,0.8467,0.6478,0.4308,0.692,0.2612,2,0.00273,-0.00014,1e-05,0.00097
GRU,29,21,13,0.8452,0.6563,0.4414,0.6998,0.2584,2,0.00214,-0.000602,1e-05,0.000978
MLP,33,13,13,0.8503,0.6497,0.4146,0.7274,0.3127,1,0.01481,0.001286,1e-05,0.000962
CNN,34,21,14,0.8483,0.6616,0.4329,0.7114,0.2785,2,0.0098,0.000761,1e-05,0.000957
