Baseline,AUC (proposed),AUC (baseline),ΔAUC,DeLong z,DeLong p,"DeLong p (Bonf, k=9)",Bootstrap 95% CI,Bootstrap p,Sig (Bonf 0.05)
FTTransformer,0.8525,0.85,0.0025,2.027,0.04264392405805092,0.38379531652245824,"[+0.0000, +0.0050]",0.0468,no
LSTM,0.8525,0.8559,-0.0034,3.176,0.0014941504013748187,0.013447353612373368,"[-0.0056, -0.0013]",0.0004,yes
GRU,0.8525,0.8512,0.0013,1.157,0.2472105537842344,1.0,"[-0.0009, +0.0036]",0.2324,no
MLP,0.8525,0.8576,-0.0051,3.349,0.0008121547132907486,0.007309392419616737,"[-0.0080, -0.0020]",0.0012,yes
CNN,0.8525,0.8437,0.0088,5.722,1.0555958754778725e-08,9.500362879300852e-08,"[+0.0059, +0.0118]",0.0,yes
XGBoost,0.8525,0.8391,0.0134,6.848,7.491196622359392e-12,6.742076960123453e-11,"[+0.0097, +0.0173]",0.0,yes
LightGBM,0.8525,0.8362,0.0163,8.341,7.392241774224809e-17,6.653017596802328e-16,"[+0.0126, +0.0202]",0.0,yes
CatBoost,0.8525,0.8465,0.006,3.46,0.0005403940785969442,0.004863546707372498,"[+0.0027, +0.0095]",0.0008,yes
LogisticRegression,0.8525,0.823,0.0295,14.541,6.653228425145971e-48,5.987905582631374e-47,"[+0.0255, +0.0334]",0.0,yes
