Group,AUC_occluded,AUC_drop,n_features
Commercial,0.8099,0.1118,8
Property_Room,0.8398,0.0818,8
Temporal,0.8675,0.0541,12
Guest_History,0.8872,0.0344,7
Stay_Pattern,0.9115,0.0101,10
