Baseline,AUC (proposed),AUC (baseline),ΔAUC,DeLong z,DeLong p,"DeLong p (Bonf, k=8)",Bootstrap 95% CI,Bootstrap p,Sig (Bonf 0.05)
FTTransformer,0.9216,0.9166,0.005,4.42,9.890987184493603e-06,7.912789747594883e-05,"[+0.0028, +0.0072]",0.0,yes
LSTM,0.9216,0.919,0.0027,2.318,0.0204546327397255,0.163637061917804,"[+0.0004, +0.0049]",0.02,no
GRU,0.9216,0.9175,0.0041,3.466,0.0005277851736773518,0.0042222813894188145,"[+0.0017, +0.0064]",0.0012,yes
MLP,0.9216,0.9212,0.0004,0.375,0.7076707431636882,1.0,"[-0.0017, +0.0026]",0.6836,no
CNN,0.9216,0.92,0.0016,1.506,0.13194586825233504,1.0,"[-0.0004, +0.0038]",0.1236,no
XGBoost,0.9216,0.9232,-0.0016,1.414,0.1574426116768015,1.0,"[-0.0038, +0.0006]",0.1524,no
LightGBM,0.9216,0.921,0.0006,0.525,0.5994076637018775,1.0,"[-0.0017, +0.0028]",0.6052,no
LogisticRegression,0.9216,0.8557,0.0659,28.523,6.000780300033485e-179,4.800624240026788e-178,"[+0.0615, +0.0704]",0.0,yes
