,Transformer,FTTransformer,LSTM,GRU,MLP,CNN,XGBoost,LightGBM,LogisticRegression
Transformer,1.0,0.024112274563005354,0.06750816200747811,0.2415665869689727,1.0,0.08754649997142971,4.4943314847500915e-08,4.3174545949487e-07,0.00061848164651368
FTTransformer,0.024112274563005354,1.0,0.7340951823194757,0.00018919298065445123,0.02109797172477834,8.983629365100221e-05,8.129431482595262e-05,0.0005682223668604935,0.49245682377288025
LSTM,0.06750816200747811,0.7340951823194757,1.0,0.00011699093322248277,0.019108863644740515,0.0001809325245611948,4.4646663003300446e-05,0.0003086843024078245,0.26649612895753194
GRU,0.2415665869689727,0.00018919298065445123,0.00011699093322248277,1.0,0.10955657678268615,0.5500973172303969,4.476765513850012e-09,4.734096781255914e-08,1.4546301474682721e-05
MLP,1.0,0.02109797172477834,0.019108863644740515,0.10955657678268615,1.0,0.042825609230891404,3.2042014352917647e-07,3.039813766037014e-06,0.003729133638196269
CNN,0.08754649997142971,8.983629365100221e-05,0.0001809325245611948,0.5500973172303969,0.042825609230891404,1.0,6.160524312903704e-10,6.138799801824746e-09,3.1235458400891147e-06
XGBoost,4.4943314847500915e-08,8.129431482595262e-05,4.4646663003300446e-05,4.476765513850012e-09,3.2042014352917647e-07,6.160524312903704e-10,1.0,0.42919530044034926,0.0005320055051392103
LightGBM,4.3174545949487e-07,0.0005682223668604935,0.0003086843024078245,4.734096781255914e-08,3.039813766037014e-06,6.138799801824746e-09,0.42919530044034926,1.0,0.0024314296996508222
LogisticRegression,0.00061848164651368,0.49245682377288025,0.26649612895753194,1.4546301474682721e-05,0.003729133638196269,3.1235458400891147e-06,0.0005320055051392103,0.0024314296996508222,1.0
