model,total_epochs,best_epoch_auc,best_epoch_loss,best_val_auc,best_val_loss,final_train_loss,final_val_loss,overfitting_gap,speed_epochs_95pct,tail_stability_std,loss_slope,initial_lr,final_lr
Transformer,25,12,5,0.9063,0.6798,0.449,0.7941,0.3451,2,0.00809,0.001004,1e-05,0.000989
FTTransformer,32,10,12,0.9135,0.6624,0.3675,1.0314,0.6638,2,0.05563,0.004922,1e-05,0.000966
LSTM,46,16,26,0.9143,0.671,0.4549,0.7882,0.3333,3,0.01586,-0.00221,1e-05,0.000884
GRU,41,24,21,0.9189,0.6667,0.517,0.6867,0.1697,4,0.00966,-0.003509,1e-05,0.000919
MLP,25,4,5,0.9099,0.6797,0.4059,0.8279,0.4219,1,0.01708,0.003029,1e-05,0.000989
CNN,25,8,5,0.9049,0.7042,0.4203,0.8924,0.4721,3,0.00884,0.00409,1e-05,0.000989
