Model,accuracy_mean,accuracy_std,accuracy,f1_macro_mean,f1_macro_std,f1_macro,roc_auc_mean,roc_auc_std,roc_auc,pr_auc_mean,pr_auc_std,pr_auc,mcc_mean,mcc_std,mcc,g_mean_mean,g_mean_std,g_mean,brier_score_mean,brier_score_std,brier_score,tdl_mean,tdl_std,tdl,emp_mean,emp_std,emp,ece_mean,ece_std,ece
Transformer,0.7743,0.0139,0.7743±0.0139,0.7506,0.012,0.7506±0.0120,0.9005,0.0067,0.9005±0.0067,0.7729,0.0223,0.7729±0.0223,0.5504,0.0193,0.5504±0.0193,0.8045,0.0106,0.8045±0.0106,0.1545,0.0102,0.1545±0.0102,3.2571,0.1346,3.2571±0.1346,0.046,0.0012,0.0460±0.0012,0.1745,0.0242,0.1745±0.0242
FTTransformer,0.7788,0.0115,0.7788±0.0115,0.7543,0.0092,0.7543±0.0092,0.9009,0.0049,0.9009±0.0049,0.781,0.015,0.7810±0.0150,0.5534,0.0084,0.5534±0.0084,0.8063,0.0042,0.8063±0.0042,0.1538,0.0078,0.1538±0.0078,3.3714,0.1302,3.3714±0.1302,0.0455,0.0009,0.0455±0.0009,0.1771,0.0203,0.1771±0.0203
LSTM,0.7894,0.0053,0.7894±0.0053,0.7647,0.005,0.7647±0.0050,0.9036,0.008,0.9036±0.0080,0.7838,0.0159,0.7838±0.0159,0.5704,0.011,0.5704±0.0110,0.8156,0.006,0.8156±0.0060,0.1479,0.0066,0.1479±0.0066,3.3357,0.1442,3.3357±0.1442,0.0462,0.0016,0.0462±0.0016,0.1683,0.0143,0.1683±0.0143
GRU,0.7799,0.0153,0.7799±0.0153,0.7576,0.0138,0.7576±0.0138,0.9073,0.0049,0.9073±0.0049,0.7892,0.0146,0.7892±0.0146,0.5674,0.0201,0.5674±0.0201,0.8139,0.0108,0.8139±0.0108,0.1545,0.0078,0.1545±0.0078,3.3429,0.1146,3.3429±0.1146,0.0472,0.0008,0.0472±0.0008,0.1835,0.0168,0.1835±0.0168
MLP,0.7847,0.012,0.7847±0.0120,0.7589,0.0088,0.7589±0.0088,0.8985,0.0088,0.8985±0.0088,0.7667,0.0154,0.7667±0.0154,0.5582,0.0135,0.5582±0.0135,0.8079,0.0079,0.8079±0.0079,0.1536,0.0098,0.1536±0.0098,3.2786,0.0774,3.2786±0.0774,0.0451,0.0012,0.0451±0.0012,0.1664,0.0207,0.1664±0.0207
CNN,0.7758,0.0239,0.7758±0.0239,0.7519,0.0192,0.7519±0.0192,0.894,0.0079,0.8940±0.0079,0.7522,0.0157,0.7522±0.0157,0.5532,0.0204,0.5532±0.0204,0.8046,0.011,0.8046±0.0110,0.1635,0.0159,0.1635±0.0159,3.2571,0.0889,3.2571±0.0889,0.0453,0.0017,0.0453±0.0017,0.1795,0.0392,0.1795±0.0392
XGBoost,0.843,0.0116,0.8430±0.0116,0.796,0.014,0.7960±0.0140,0.901,0.0045,0.9010±0.0045,0.778,0.0158,0.7780±0.0158,0.5927,0.0281,0.5927±0.0281,0.7852,0.0151,0.7852±0.0151,0.1123,0.0038,0.1123±0.0038,3.2929,0.1481,3.2929±0.1481,0.0461,0.0011,0.0461±0.0011,0.0544,0.006,0.0544±0.0060
LightGBM,0.8445,0.0097,0.8445±0.0097,0.7977,0.0133,0.7977±0.0133,0.9035,0.0067,0.9035±0.0067,0.7808,0.0232,0.7808±0.0232,0.5961,0.0265,0.5961±0.0265,0.7867,0.0175,0.7867±0.0175,0.1106,0.0053,0.1106±0.0053,3.3071,0.1278,3.3071±0.1278,0.0467,0.0009,0.0467±0.0009,0.0533,0.0071,0.0533±0.0071
LogisticRegression,0.8083,0.006,0.8083±0.0060,0.7774,0.0049,0.7774±0.0049,0.8994,0.0051,0.8994±0.0051,0.7714,0.0127,0.7714±0.0127,0.5744,0.0068,0.5744±0.0068,0.8126,0.0031,0.8126±0.0031,0.1279,0.003,0.1279±0.0030,3.3429,0.1374,3.3429±0.1374,0.0453,0.0005,0.0453±0.0005,0.0947,0.0087,0.0947±0.0087
