Baseline,AUC (proposed),AUC (baseline),ΔAUC,DeLong z,DeLong p,"DeLong p (Bonf, k=8)",Bootstrap 95% CI,Bootstrap p,Sig (Bonf 0.05)
FTTransformer,0.8892,0.8968,-0.0076,1.248,0.2120945446620659,1.0,"[-0.0194, +0.0043]",0.2136,no
LSTM,0.8892,0.9016,-0.0124,2.21,0.027070500354528924,0.2165640028362314,"[-0.0233, -0.0016]",0.0268,no
GRU,0.8892,0.9096,-0.0204,4.465,8.021544888365875e-06,6.4172359106927e-05,"[-0.0296, -0.0116]",0.0,yes
MLP,0.8892,0.9012,-0.012,2.394,0.01668823358435429,0.13350586867483433,"[-0.0217, -0.0023]",0.0164,no
CNN,0.8892,0.8893,-0.0,0.005,0.9961282373156507,1.0,"[-0.0112, +0.0110]",0.9876,no
XGBoost,0.8892,0.8946,-0.0053,0.919,0.3582553033579414,1.0,"[-0.0170, +0.0060]",0.352,no
LightGBM,0.8892,0.8943,-0.0051,0.884,0.3765935125341878,1.0,"[-0.0164, +0.0062]",0.3652,no
LogisticRegression,0.8892,0.8971,-0.0078,1.871,0.06130670152152659,0.4904536121722127,"[-0.0166, +0.0003]",0.0608,no
