Baseline,AUC (proposed),AUC (baseline),ΔAUC,DeLong z,DeLong p,"DeLong p (Bonf, k=8)",Bootstrap 95% CI,Bootstrap p,Sig (Bonf 0.05)
FTTransformer,0.9137,0.9131,0.0006,0.465,0.641604884040444,1.0,"[-0.0020, +0.0032]",0.6416,no
LSTM,0.9137,0.9118,0.0019,1.59,0.11175230797703622,0.8940184638162898,"[-0.0004, +0.0043]",0.1124,no
GRU,0.9137,0.9133,0.0004,0.324,0.7460262630547463,1.0,"[-0.0019, +0.0026]",0.7372,no
MLP,0.9137,0.9169,-0.0032,2.671,0.007570703170410131,0.06056562536328105,"[-0.0056, -0.0009]",0.0064,no
CNN,0.9137,0.9156,-0.0019,1.68,0.09289058590784836,0.7431246872627869,"[-0.0042, +0.0003]",0.0864,no
XGBoost,0.9137,0.9172,-0.0035,3.088,0.0020166186213639655,0.016132948970911724,"[-0.0057, -0.0013]",0.002,yes
LightGBM,0.9137,0.9155,-0.0018,1.532,0.12540167468808994,1.0,"[-0.0041, +0.0005]",0.128,no
LogisticRegression,0.9137,0.8549,0.0588,25.844,2.8164816626896113e-147,2.253185330151689e-146,"[+0.0544, +0.0634]",0.0,yes
