Group,AUC_occluded,AUC_drop,n_features
Commercial,0.8241,0.0945,8
Property_Room,0.8397,0.0789,8
Temporal,0.8667,0.0519,12
Guest_History,0.8883,0.0303,7
Stay_Pattern,0.9093,0.0093,10
