model,total_epochs,best_epoch_auc,best_epoch_loss,best_val_auc,best_val_loss,final_train_loss,final_val_loss,overfitting_gap,speed_epochs_95pct,tail_stability_std,loss_slope,initial_lr,final_lr
Transformer,42,31,22,0.9218,0.5113,0.4178,0.5228,0.1049,2,0.00667,-0.000868,1e-05,0.000912
FTTransformer,48,27,28,0.9191,0.5183,0.3798,0.5688,0.189,2,0.00549,7.8e-05,1e-05,0.000869
LSTM,47,29,27,0.9182,0.5147,0.3892,0.5591,0.1699,3,0.00353,-0.001134,1e-05,0.000877
GRU,48,28,28,0.9166,0.5165,0.3714,0.5708,0.1994,3,0.0046,-0.000818,1e-05,0.000869
MLP,46,32,26,0.9213,0.5068,0.3986,0.5421,0.1434,1,0.00574,-0.000111,1e-05,0.000884
CNN,47,30,27,0.9213,0.5116,0.4254,0.5348,0.1094,2,0.00117,-0.000791,1e-05,0.000877
