Group,AUC_occluded,AUC_drop,n_features
Commercial,0.8175,0.0997,8
Property_Room,0.8341,0.0831,8
Temporal,0.8653,0.0519,12
Guest_History,0.8839,0.0333,7
Stay_Pattern,0.9029,0.0142,10
