Group,AUC_occluded,AUC_drop,n_features
Commercial,0.8247,0.0943,8
Property_Room,0.8425,0.0764,8
Temporal,0.8657,0.0532,12
Guest_History,0.8847,0.0342,7
Stay_Pattern,0.9076,0.0113,10
