model,total_epochs,best_epoch_auc,best_epoch_loss,best_val_auc,best_val_loss,final_train_loss,final_val_loss,overfitting_gap,speed_epochs_95pct,tail_stability_std,loss_slope,initial_lr,final_lr
Transformer,41,37,21,0.9244,0.4559,0.3727,0.481,0.1083,2,0.00433,-0.000875,1e-05,0.000919
FTTransformer,45,25,25,0.922,0.4629,0.3524,0.493,0.1406,2,0.00275,-0.000325,1e-05,0.000891
LSTM,44,24,24,0.9212,0.4623,0.3693,0.4796,0.1103,3,0.00669,-0.001796,1e-05,0.000899
GRU,45,32,25,0.9203,0.4636,0.3593,0.4936,0.1343,3,0.00417,-0.001463,1e-05,0.000891
MLP,48,28,28,0.9252,0.4545,0.3612,0.4786,0.1173,1,0.0037,-0.000192,1e-05,0.000869
CNN,40,28,20,0.9238,0.461,0.3956,0.4711,0.0754,2,0.00228,-0.001268,1e-05,0.000925
